State,District,Block,Gram Panchayat,Village,SHG Code,SHG Name,SHG NIC Code,SHG Category,Date of Formation,Active Members,Primary Parent CBO (VO),Secondary Parent CBO (CLF),Promoted By,Promoters Name,Co-option Status,Co-option/Revival Date,SHG Type,Special SHG Type,Meeting Frequency,Savings Frequency,Savings Amount,Tenure of Office Bearers (Months),Primary Livelihoods,Secondary Livelihoods,Tertiary Livelihoods,Status (Active/Inactive),1st Account Number,1st Account Type,1st IFSC,1st Branch Name,1st Bank Name,1st Account Opening Date,is_synthetic
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935418,AGDALA JANAKALYAN GOT,239408,GEN,01-05-2000,12,JYOTIRUPA,KAPOUPAHI,Other,NRLM MIS ID ,Revived,03-04-2018,Woman(Regular),-,Weekly,Weekly,40,12,shg_livestock,shg_livestock,shg_livestock,Active,327010110620.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,06-06-2000,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933682,AGDOLA JANANI SHG,150684,GEN,03-05-2005,11,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,02-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_custom_hiring,Active,327010113507.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,23-11-2005,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933960,AGDOLA MILIJULI GOT,234896,GEN,10-09-2003,10,JYOTIRUPA,KAPOUPAHI,SGSY,,Revived,01-04-2018,Woman(Regular),-,Weekly,Weekly,50,12,shg_livestock,shg_livestock,shg_livestock,Active,327010112218.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,19-11-2003,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934564,AGDOLA NAHAR SHG,148248,GEN,25-01-2007,6,SONALI,KAPOUPAHI,SGSY,,Revived,17-08-2017,Woman(Regular),-,Weekly,Weekly,40,24,-,-,-,Active,327010114405.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,22-02-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935776,AGDOLA RUPAHI GOT,171778,SC,01-07-2007,11,JYOTIRUPA,KAPOUPAHI,Other,AGDALA rupahi shg,Revived,01-07-2007,Woman(Regular),-,Weekly,Weekly,25,12,shg_manufacturing,shg_livestock,shg_livestock,Active,327010114829.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,10-07-2007,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935487,AGDOLA SHG,233355,OTH,12-06-2005,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,25-08-2018,Woman(Regular),-,Weekly,Weekly,25,24,-,-,-,Active,327010113137.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,11-07-2005,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000933800,APARUPA AATMA SAHAYAK GOT,171791,GEN,05-11-2016,10,JYOTIRUPA,KAPOUPAHI,NRLM,,Revived,02-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_livestock,shg_manufacturing,Active,327010400947.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,26-04-2017,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000935223,APARUPA SWA SAHARYA GOT,233339,OTH,12-02-2008,11,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,08-07-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010111408.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,04-06-2008,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934834,ARUNJYOTI ATMA SAHAYAK GOT,161492,GEN,19-09-2011,10,JYOTIRUPA,KAPOUPAHI,NRLM,,Revived,09-04-2018,Woman(Regular),-,Weekly,Weekly,25,12,shg_livestock,shg_manufacturing,shg_livestock,Active,327010262194.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,01-03-2012,False
ASSAM,KAMRUP,BEZERA,AGDOLA,AGDOLA,4000934932,ASHAPURNA,244905,GEN,11-08-2008,13,MATRI MANGAL,KAPOUPAHI,SGSY,,Revived,03-11-2023,Woman(Regular),-,Weekly,Weekly,20,24,-,-,-,Active,327010116133.0,Savings (Default),PUNB0032720,Baihatacharali,PUNJAB NATIONAL BANK,01-09-2008,False
